country_school,id,country,lat,lng,n_trials,n_positive
cotedivoire-5,5,cotedivoire,9.26232,-7.60792,30,0
cotedivoire-50,50,cotedivoire,6.32416,-3.44381,30,0
cotedivoire-502,502,cotedivoire,5.75329,-4.55792,32,0
cotedivoire-503,503,cotedivoire,5.29916,-3.9798,30,2
cotedivoire-506,506,cotedivoire,5.72004,-4.61842,31,1
cotedivoire-508,508,cotedivoire,5.30125,-3.97925,30,0
cotedivoire-51,51,cotedivoire,10.01048,-7.12007,30,0
cotedivoire-510,510,cotedivoire,9.5922,-3.53053,30,0
cotedivoire-511,511,cotedivoire,10.15359,-6.25621,32,0
cotedivoire-512,512,cotedivoire,10.16474,-6.247,32,0
cotedivoire-514,514,cotedivoire,9.87175,-3.42,30,2
cotedivoire-515,515,cotedivoire,9.61261,-3.43777,30,1
cotedivoire-516,516,cotedivoire,10.28501,-6.15562,32,0
cotedivoire-517,517,cotedivoire,10.16574,-6.34283,31,0
cotedivoire-518,518,cotedivoire,10.20487,-6.30436,33,1
cotedivoire-519,519,cotedivoire,9.87188,-3.41993,30,0
cotedivoire-52,52,cotedivoire,9.65065,-7.62223,30,2
cotedivoire-520,520,cotedivoire,10.06299,-6.25488,32,0
cotedivoire-521,521,cotedivoire,9.17171,-2.74548,30,0
cotedivoire-522,522,cotedivoire,9.17171,-2.74549,32,0
cotedivoire-523,523,cotedivoire,8.82159,-2.96255,30,1
cotedivoire-524,524,cotedivoire,5.48784,-4.035,31,3
cotedivoire-527,527,cotedivoire,5.49139,-4.04854,27,0
cotedivoire-528,528,cotedivoire,5.27502,-3.96615,30,0
cotedivoire-529,529,cotedivoire,5.30199,-3.98246,30,0
cotedivoire-530,530,cotedivoire,5.31437,-4.003339,30,0
cotedivoire-532,532,cotedivoire,5.6454,-4.58122,30,0
cotedivoire-534,534,cotedivoire,5.64783,-4.56912,31,1
cotedivoire-535,535,cotedivoire,5.49158,-4.04884,29,3
cotedivoire-537,537,cotedivoire,5.30751,-4.00177,30,0
cotedivoire-539,539,cotedivoire,5.50071,-4.0504,31,0
cotedivoire-54,54,cotedivoire,9.47221,-6.49441,30,0
cotedivoire-540,540,cotedivoire,5.48862,-4.04609,25,0
cotedivoire-541,541,cotedivoire,5.6447,-4.58267,30,0
cotedivoire-542,542,cotedivoire,8.58383,-3.62986,30,0
cotedivoire-543,543,cotedivoire,9.3638,-6.16283,32,0
cotedivoire-544,544,cotedivoire,8.58372,-3.63003,32,0
cotedivoire-545,545,cotedivoire,8.677,-3.19111,30,0
cotedivoire-546,546,cotedivoire,9.31025,-6.13492,32,0
cotedivoire-548,548,cotedivoire,9.30182,-6.37519,32,0
cotedivoire-549,549,cotedivoire,8.60997,-3.16825,32,0
cotedivoire-55,55,cotedivoire,9.626,-7.73627,30,0
cotedivoire-550,550,cotedivoire,9.32206,-6.36105,32,0
cotedivoire-553,553,cotedivoire,8.71168,-3.11948,32,0
cotedivoire-554,554,cotedivoire,9.41333,-6.29597,32,1
cotedivoire-555,555,cotedivoire,9.44171,-6.23332,32,0
cotedivoire-559,559,cotedivoire,9.27561,-6.24086,31,0
cotedivoire-560,560,cotedivoire,9.34609,-6.15878,32,0
cotedivoire-563,563,cotedivoire,8.39204,-3.56624,30,0
cotedivoire-564,564,cotedivoire,9.34897,-6.12785,33,0
cotedivoire-565,565,cotedivoire,9.35979,-6.18574,32,3
cotedivoire-569,569,cotedivoire,6.67602,-3.9692,30,0
cotedivoire-57,57,cotedivoire,6.23827,-3.41534,30,0
cotedivoire-570,570,cotedivoire,7.24015,-6.47465,32,0
cotedivoire-571,571,cotedivoire,6.64722,-4.22682,30,0
cotedivoire-572,572,cotedivoire,7.09295,-6.88854,33,0
cotedivoire-573,573,cotedivoire,6.64437,-4.20409,34,0
cotedivoire-576,576,cotedivoire,7.17034,-6.48361,32,0
cotedivoire-578,578,cotedivoire,7.17251,-6.51457,32,1
cotedivoire-58,58,cotedivoire,7.83315,-3.25457,30,0
cotedivoire-580,580,cotedivoire,6.46887,-4.36511,30,0
